trId,trTid,trSid,trType,trTone,trText,trFlag
20,20,102070,1,1,"<em>(Podoben: &ldquo;Your tomb, O Savior...&rdquo;)</em><br>
You followed Christ Who was born of a virgin for our sake, O revered Mary Magdalene, |keeping His commandments and laws.| Today, as we celebrate your most holy memory, we rejoice in faith,| and by your prayers, we receive the forgiveness of our sins.",0
21,21,101752,1,1,"Divinely we praise you, O Jude, as a faithful witness,|knowing you to be the brother of Christ.|You trampled on delusion,|and so preserved the faith.|Today as we celebrate your holy memory,|by your intercessions we receive remission of sins.",0
23,23,100461,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
24,24,103682,1,1,"As acceptable victims and freshly plucked flowers,|as divine first-fruits and newborn lambs,|you were offered to Christ who was born as a child, holy innocents.|You mocked Herod&rsquo;s wickedness;|now we beseech you:|&ldquo;Unceasingly pray for our souls.&rdquo;",0
25,25,103251,1,1,"O faithful, let us honor Nectarius the divine servant of Christ,|offspring of Silyvria and guardian of Aegina,|who appeared in these last times as a true friend of virtue,|pouring forth all manner of healing upon those who reverently cry:|Glory to Him who gave you strength!|Glory to Him who granted you a crown!|Glory to Him who through you grants healing to all!",0
26,26,101951,1,4,"O God of our Fathers,|always act with kindness towards us;|take not Your mercy from us,|but guide our lives in peace|through the prayers of Saints Thomas and Acacius.",0
28,28,101759,1,1,"Your blood cries out to God from the earth like that of Abel,|divinely-wise holy hierarch, Methodius.|You openly preached the Incarnation of God,|putting the heresy of Origen to shame.|You were translated to the heavenly bridal chamber:|Pray to Christ God that our souls may be saved.",0
30,30,102153,1,1,"O Lord, save Your people,|and bless Your inheritance!|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of the Cross,|preserve Your habitation!",0
2497,15,103599,1,4,"<em>(Podoben: &ldquo;Thou Who wast raised up...&rdquo;)</em><br>
Let us, who are sinful and humble, now flee fervently to the Theotokos, |bowing down to her, crying out in repentance from the depths of our soul: |Hasten, O Sovereign Lady, help us and take pity on us, |for we are perishing from a multitude of transgressions. |Do not turn your servants away empty-handed, for we have you as our only hope.",0
2498,12,103599,2,6,"Steadfast Protectress of Christians, |constant advocate before the Creator, |do not despise the entreaties of us sinners, |but in your goodness hasten to help us who cry out to you with faith:| Speedily hear our petition and intercede for us, O Theotokos, |for you always protect those who honor you.",0
32,32,102065,1,1,"Having heard the voice of Your Apostle Paul:|we are fools for Christ&rsquo;s sake!|Your servant Simeon, O Christ God,|lived the life of a fool here on earth for Your sake.|Therefore as we venerate his memory,|we entreat You, O Lord, to save our souls!",0
38,38,107777,1,1,"The Church glorifies you as a kinsman of Christ, O Hierarch Simeon, |and as a steadfast martyr, for
courageously you destroyed all deceptions and preserved the Faith. |Therefore, we celebrate your
holy memory today, |and by your prayers, we receive the remission of our sins.",0
39,39,100465,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
41,41,101301,1,1,"As an indestructible pillar of courage,|you repulsed the attacks of Belial and remained unmoved in temptation.|Therefore, O wise Job,|the Church praises you as a model of endurance and an example of virtue;|and she is made radiant by your great deeds.",0
45,45,100430,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
46,46,100706,1,1,"<em>(Podoben: &ldquo;O citizen of the desert...&rdquo;)</em><br>
Let us honor those noble soldiers of the Master of all, |for they were united by their faith as they passed through fire and water; |and being enlisted by Christ, they entered into divine refreshment.| Now those pious warriors stand and intercede with Christ God for those who cry out:| &ldquo;Glory to Him Who strengthened you. |Glory to Him Who crowned you. |Glory to Him Who made you wondrous, O Forty Martyrs.&rdquo;",0
2478,2375,101984,2,8,"<em>(Podoben: &ldquo;As the first fruits of our nature...&rdquo;)</em><br>
You endured many torments for the sake of Christ, O Martyrs. |You destroyed idolatrous polytheism and godless error by the power of Christ.| Teach us to cry aloud with faith: Alleluia.",0
50,50,107785,1,1,"<em>(Podoben: &ldquo;O citizen of the desert...&rdquo;)</em><br>
You shone forth like the sun on Mount Amómon, O God-bearer, | and through martyrdom you departed unto God. | You endured the invasion of the barbarians, O Ephraim, Great Martyr of Christ. | Therefore, you gush forth grace forever to those who devoutly call upon you. | Glory to Him Who gave you strength. | Glory to Him Who magnified you. | Glory to Him Who, through you, grants healing to all.",0
51,51,101918,1,1,"Dweller of the desert and angel in the body,|you were shown to be a wonder-worker, our God-bearing Father Sisoes.|You received heavenly gifts through fasting, vigil, and prayer:|healing the sick and the souls of those drawn to you by faith.|Glory to Him who gave you strength!|Glory to Him who granted you a crown!|Glory to Him who through you grants healing to all!",0
55,55,103789,1,1,"Most noble and sublime was your life and death, O Sovereigns;|wise Nicholas and blest Alexandra, we praise you,|acclaiming your piety, meekness, faith, and humility,|whereby you attained to crowns of glory in Christ our God,|with your five renowned and godly children of blessed fame.|O passion-bearers decked in purple, intercede for us.",0
57,57,101697,1,1,"In the flesh you lived the life of the angels,|you were citizens of the desert and treasuries of grace,|O Onuphrius, adornment of Egypt,|and Peter the light of Athos.|Therefore we honor your struggles as we sing to you:|Glory to him who has strengthened you!|Glory to him who granted you a crown!|Glory to him who through you grants healing to all!",0
59,59,103486,1,1,"You renounced the world in favor of the spirit,|seeking the one God with your whole heart, O Anthony.|You retreated to a far wilderness, near waters,|in tears and labors living the angelic life.|You gathered a multitude of monks in your wisdom.|Visit them and cease not to implore the Holy Trinity|to deliver us from evil|And to save our souls!",0
60,60,102980,1,1,"Longinus, you beheld the King of Glory|who was nailed to the Cross, yet shone on those in darkness.|You were enlightened by His rays and became a martyr|and save those who cry:|Glory to Him who gave you strength!|Glory to Him who granted you a crown!|Glory to Him who through you grants healing to all!",0
61,61,102302,1,1,"In giving birth, you preserved your virginity, | and in falling asleep you did not forsake the world, O
Theotokos. | You passed into life as the Mother of Life, |and by your prayers, you deliver our souls from death.",0
62,62,100440,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
63,63,103565,1,1,"O Sebastian, spurning the assemblies of the wicked,|you gathered the wise martyrs|who with you cast down the enemy;|and standing worthily before the throne of God,|you gladden those who cry to you:|Glory to him who has strengthened you!|Glory to him who has granted you a crown!|Glory to him who through you works healing for all!",0
65,65,104101,1,1,"You were the invincible Supreme Commander of the Russian Fleet,| destroying and setting at nought the malice of the Muslims;| seeking neither worldly glory nor riches, |you served God and your neighbor. |O Saint Theodore, pray that our armed forces be granted victory over the enemy,| that our homeland may abide in unshakeable piety,| and that the children of Russia may be saved.",0
66,66,16,1,1,"Dweller of the desert and angel in the body, |you were shown to be a wonderworker, our God-bearing Father John. | You received heavenly gifts through fasting, vigil, and prayer: | healing the sick and the souls of those drawn to you by faith.| Glory to Him who gave you strength. | Glory to Him who granted you a crown. |Glory to Him Who, through you, grants healing to all.",0
68,68,101680,1,1,"By sharing in the ways of the Apostles,| you became a successor to their throne. | Through the practice of virtue, | you found the way to divine contemplation, O divinely inspired one;| by rightly dividing the word of truth without error,| you defended the Faith, even to the shedding of your blood. |O Hieromartyr Timothy entreat Christ God to save our souls.",0
69,69,20,1,1,"By raising Lazarus from the dead before Your passion,|You did confirm the universal Resurrection, O Christ God!|Like the children with the palms of victory, |we cry out to You, O Vanquisher of death:|Hosanna in the Highest!|Blessed is He that comes in the Name of the Lord!",0
70,70,102303,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
73,73,5,2,1,"When You, O God, shall come to earth with glory,|all things shall tremble|and the river of fire shall flow before Your judgment seat;|the books shall be opened and the hidden things disclosed!|Then deliver me from the unquenchable fire,|and make me worthy to stand at Your right hand, Most Righteous Judge!",0
74,74,102161,1,1,"O Lord, save Your people,|and bless Your inheritance!|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of the Cross,|preserve Your habitation!",0
76,76,100350,1,1,"Let us who love their words come together, honoring with hymns, the three greatest luminaries of the Three-Sunned divinity:| Basil the Great, Gregory the Theologian, together with the renowned John Chrysostom, of golden speech. |They have illumined the entire world with the rays of divine doctrines; |they are sweetly-flowing rivers of wisdom, |who with divine knowledge have watered all of creation with clear streams;| for they always intercede with the Trinity for us.",0
77,77,100298,1,1,"The sweet-sounding shepherd&rsquo;s pipe of your theology|overpowered the trumpeting of the orators;|for having searched the depths of the Spirit|eloquence was also bestowed upon you.|Pray to Christ God, Father Gregory,|that our souls may be saved.",0
78,78,102003,1,1,"Giving your mind the wings of divine understanding,|you soared above visible creation seeking God the Creator of all.|When you had found Him, you received rebirth through baptism.|As one who enjoys the Tree of Life,|you remain eternally incorrupt, ever-glorious Olga.",0
79,79,19,1,1,"By raising Lazarus from the dead before Your passion,|You did confirm the universal Resurrection, O Christ God!|Like the children with the palms of victory, |we cry out to You, O Vanquisher of death:|Hosanna in the Highest!|Blessed is He that comes in the Name of the Lord!",0
80,80,103058,1,1,"With the flow of the many-streamed river of almsgiving|you watered the dry earth of the needy.|Showering alms on the widows and the poor,|you shone with the light of your works|and were radiant with grace, O Tabitha.|Glory to Christ who loves you!|Glory to Christ who has blessed you!|Glory to Christ whom you followed as a true disciple and a spotless lamb!",0
82,82,100407,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
84,84,102637,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
85,85,102625,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
86,86,101843,1,4,"O God of our Fathers,|always act with kindness towards us;|take not Your mercy from us,|but guide our lives in peace|through the prayers of Saints Thomas and Acacius.",0
87,87,102377,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
88,88,100421,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
89,89,101571,1,1,"By your faith, you shone like a radiant star in the dark night of error;|you fought the good fight and slew the crafty enemy, O Lucillian.|Together with venerable Paula and the four martyred children|entreat Christ our God to save our souls.",0
91,91,102414,1,1,"You abandoned the Egypt of the passions, O Father,|ascending the mount of the virtues with fervent faith, |taking the Cross of Christ upon your shoulders;|and being glorified in godly works, | you proved to be a model for monastics, O Moses, summit of the Fathers. |With them, pray unceasingly that our souls may find mercy.",0
94,94,101024,1,1,"Let us praise in hymns the six-fold choir of Apostles:|Herodion and Agabus,|Rufus, Asyncritus, Phlegon and holy Hermes.|They ever entreat the Trinity for our souls!",0
95,95,100226,1,1,"You were shown to be a citizen of the desert,| an angel in the body, and a wonderworker, O Makarios our God-bearing Father; |receiving heavenly gifts through fasting, vigil, and prayer, |healing the infirmities and the souls of those who come to you with faith. |Glory to Him Who strengthened you. |Glory to Him Who crowned you. |Glory to Him Who, through you, grants healing to all.",0
96,96,102622,1,1,"O pure and holy Philotheus, you were a lover of God,|and now glorified by the Holy Spirit,|you work miracles to save from harm all who cry to you:|Glory to him who has glorified you!|Glory to him who has made you wonderful!|Glory to him who through you works healings for all!",0
99,99,102363,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
100,100,100751,1,1,"Let the godly-minded Quadratus, Anectus, Paul, Dionysius, Cyprian, and Crescens|be praised with melodious hymns,|for as the six-fold choir of Christ&rsquo;s prize-winners,|they ceaselessly pray for us before the Trinity!",0
104,104,100406,1,1,"O holy Brigid, you became sublime through your humility,|and flew on the wings of your longing for God.|When you arrived in the eternal City and appeared before your Heavenly Bridegroom,|wearing the crown of virginity,|you kept your promise|to remember those who have recourse to you.|You shower grace upon the world, and multiply miracles.|Intercede with Christ our God that He may save our souls.",0
106,106,102610,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
115,115,100800,1,1,"<em>(Podoben: &ldquo;O citizen of the desert...&rdquo;)</em><br>
By your ascetical contests, O God-bearer Benedict,| you were true to the name that you bear; |for you
blossomed as a son of benediction, |and became a Rule for all who desire to emulate your life. |Thus,
with one voice we cry:| &ldquo;Glory to Him Who strengthened you; |glory to Him Who crowned you; |glory to Him Who, through you, works healings for all.&rdquo;",0
116,116,101393,1,1,"Dweller of the desert and angel in the body,|you were shown to be a wonder-worker, our God-bearing Father Theodore.|You received heavenly gifts through fasting, vigil, and prayer:|Healing the sick and the souls of those drawn to you by faith.|Glory to Him who gave you strength!|Glory to Him who granted you a crown!|Glory to Him who through you grants healing to all!",0
117,117,100813,1,1,"With godliness you preached to the ungodly|that the Creator of all took flesh without undergoing change.|You excelled in your holy contest,|for by meeting death in the river you attained to the Source of incorruption.|Therefore, we praise you, blessed Sabinus.",0
119,119,102467,1,1,"You protected your flock with your blood,|not fearing your adversaries.|Now you rejoice in heaven standing before the throne.|Glory to Christ who has strengthened you;|glory to your courage;|glory to your endurance, O holy Hieromartyr Anthimus!",0
120,120,100830,1,1,"Let us honor the like-minded pair of Martyrs, |Chrysanthos the offspring of purity, and the most modest Daria.| For united in holiness in the faith, |they were shown to be initiates of the Word of God. |They contested lawfully for Him; and they save those who sing: |&ldquo;Glory to Him Who strengthened you. |Glory to Him Who crowned you.| Glory to Him Who, through you, works healings for all.&rdquo;",0
121,121,102614,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
122,122,100172,1,1,"When You, O Lord were baptized in the Jordan|the worship of the Trinity was made manifest|for the voice of the Father bore witness to You|and called You His beloved Son.|And the Spirit, in the form of a dove,|confirmed the truthfulness of His word.|O Christ, our God, You have revealed Yourself|and have enlightened the world, glory to You!",0
123,123,102448,1,1,"You were a pillar of patient endurance,|having imitated the forefathers, O Venerable One:|Job in suffering, and Joseph in temptations.|You lived like the bodiless ones while yet in the flesh, O Simeon, our Father.|Beseech Christ God that our souls may be saved.",0
124,124,103043,1,1,"Through the sufferings which Your holy martyrs Arethas and his companions|endured for Your sake, O Lord,|we beseech You, O Lover of mankind:|heal all of our infirmities.",0
125,125,100396,1,1,"The celestial choir of heavenly angels|bends down to the earth|and sees the First-born of all creation|being carried into the Temple as a babe|by a Mother who has not known man,|and in amazement sings with us|a pre-festal hymn.",0
126,126,100610,1,1,"Your proclamation has gone forth throughout North America,|calling the scattered sheep into the unity of the church.|hearing your voice, they responded to your teaching,|and through your writings you instructed them in piety.|Now guided by your example, O Father Raphael,|we sing hymns of praise unto Christ our God.|Glory to Him Who gave you strength!|Glory to Him Who granted you a crown!|Glory to Him Who, through you, grants healing to all!",0
127,127,100615,1,1,"Dweller of the desert and angel in the body,|you were shown to be a wonder-worker, our God-bearing Father Basil.|You received heavenly gifts through fasting, vigil, and prayer:|Healing the sick and the souls of those drawn to you by faith.|Glory to Him who gave you strength!|Glory to Him who granted you a crown!|Glory to Him who through you grants healing to all!",0
128,128,103007,1,1,"Let us the faithful praise the divine Gerasimos,|who is the protector of the Orthodox, and an angel in the body,
and a newly appeared God-bearing wonderworker;|for he has worthily received from God the unfailing grace of
healing;|he restores the sick, and heals those possessed by demons;|therefore, he pours forth healings upon those who honor him.",0
129,129,102500,1,1,"The miracle which Moses witnessed on Sinai in the burning bush | foretold your virginal childbearing, O pure Mother. | We the faithful cry to you: | Hail, O truly living bush! | Hail, O holy mountain! | Hail, O sanctified expanse, Most Holy Theotokos!",0
4850,961,32,2,8,"O most favored by God, you confer on me the healing of your grace from your inexhaustible Fountain. |Therefore, since you gave birth incomprehensibly to the Word,| I implore you to refresh me with the dew of your grace that I might cry to you: Hail, O Water of salvation.",0
4851,961,100268,2,8,"O most favored by God, you confer on me the healing of your grace from your inexhaustible Fountain. |Therefore, since you gave birth incomprehensibly to the Word,| I implore you to refresh me with the dew of your grace that I might cry to you: Hail, O Water of salvation.",0
133,133,102813,1,1,"You were shown to be a citizen of the desert, an Angel in the body| and a wonderworker.| O our God-bearing Father Kyriákos, |through fasting, vigil and prayer you received heavenly gifts, | healing the sick and the souls of those who hasten to you with faith. / Glory to Him Who gave you strength. | Glory to Him Who crowned you. | Glory to Him Who, through you, grants healing to all.",0
134,134,103122,1,1,"Aflame with love for God, you gave your life as a martyr for Christ and neighbor,|for this you received a crown of righteousness from Him.|Hieromartyr John, entreat the most Merciful God|to preserve the Holy Church in peace and to save our souls.",0
135,135,100988,1,1,"Let us the faithful praise Zosimas the offspring of the wilderness,|the angel in the flesh and the boast of monastics.|With him, let us acclaim holy Mary of Egypt|whose life transcended the limits of nature.|Together, let us cry to them:|Glory to him who strengthened you!|Glory to him who sanctified you!|Glory to him who through you works healing for all!",0
136,136,101502,1,1,"Dweller of the desert and angel in the body,|you were shown to be a wonder-worker, our God-bearing Father Simeon.|You received heavenly gifts through fasting, vigil, and prayer:|healing the sick and the souls of those drawn to you by faith.|Glory to Him who gave you strength!|Glory to Him who granted you a crown!|Glory to Him who through you grants healing to all!",0
137,137,103102,1,1,"You abandoned all earthly comforts, O Father Abramius,|living righteously in hope of things to come and receiving a sacred anointing.|Initiated into divine mysteries, you enlighten those who cry:|Glory to him who has strengthened you!|Glory to him who has granted you a crown!|Glory to him who through you works healing for all!",0
138,138,102546,1,1,"Since you were righteous under the law of grace, O Joachim and Anna,|you gave birth to the God-given infant for our sake.|Therefore, the divine Church radiantly keeps feast today,|joyfully celebrating your honorable memory and giving glory to God|who has raised up a horn of salvation from the house of David.",0
139,139,103100,1,1,"The image of God was truly preserved in you, O Father,|for you took up the Cross and followed Christ.|By so doing you taught us to disregard the flesh for it passes away|but to care instead for the soul, since it is immortal.|Therefore your spirit, venerable Abramius, rejoices with the angels.",0
147,147,101016,1,1,"Let us praise Tikhon, the patriarch of all Russia,|and enlightener of North America|an ardent follower of the Apostolic traditions,|and good pastor of the Church of Christ.|Who was elected by divine providence,|and laid down his life for his sheep.|Let us sing to him with faith and hope,|and ask for his hierarchical intercessions:|Keep the church in Russia in tranquility,|and the church in North America in peace.|Gather her scattered children into one flock,|bring to repentance those who have renounced the True Faith,|preserve our lands from civil strife,|and entreat God&rsquo;s peace for all people!",0
151,151,102323,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
154,154,102673,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
155,155,100106,1,1,"When You, O Lord were baptized in the Jordan |the worship of the Trinity was made manifest |for the voice of the Father bore witness to You |and called You His beloved Son. |And the Spirit, in the form of a dove, |confirmed the truthfulness of His word. |O Christ, our God, You have revealed Yourself |and have enlightened the world, glory to You!",0
156,156,101106,1,1,"Sisters in the flesh united in the Spirit,|you wrestled with the prince of evil and endured your martyrdom.|Holy and blest Agape, Irene, and Chionia,|pray to Christ our God to save our souls.",0
159,159,102726,1,1,"You concealed your womanliness in asceticism, |and at your repose everyone was amazed, O Euphrosynē.| As a young girl you toiled like a man,| and by your intercessions you deliver those who honor you from dangers.",0
161,161,102348,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
163,163,100108,1,1,"When You, O Lord were baptized in the Jordan |the worship of the Trinity was made manifest |for the voice of the Father bore witness to You |and called You His beloved Son. |And the Spirit, in the form of a dove, |confirmed the truthfulness of His word. |O Christ, our God, You have revealed Yourself |and have enlightened the world, glory to You!",0
2453,1,205444,1,3,"O new boast of Orthodoxy, newly-adorned flower of chastity,|you had the same name as Saint Anthimos of Nicomedia, as well as his virtues and way of life.|O new seal and splendor of monastics, Father Anthimos,|the boast of all Chios,|intercede with Christ God that He may grant us great mercy.",0
165,165,102906,1,1,"Chosen by God in a turbulent time,|you glorified God in complete holiness;|and attained greatness through humility|you showed forth the power of God through simplicity and piety;|you laid down your life for the Church and her people,|O Holy Confessor and Patriarch, Father Tikhon,|pray to Christ God to Whom you were also crucified|that He may save our souls.",0
166,166,100003,1,1,"Your proclamation has gone out into all the earth|which was divinely taught by hearing your voice|expounding the nature of creatures,|ennobling the manners of men.|O holy father of a royal priesthood,|entreat Christ God that our souls may be saved.",0
167,167,100001,1,1,"Enthroned on high with the Eternal Father and Your divine Spirit, |O Jesus, You willed to be born on earth of the unwedded handmaid, your Mother.|Therefore You were circumcised as an eight-day old Child.|Glory to Your most gracious counsel;|glory to Your dispensation;|glory to Your condescension, O only Lover of mankind.",0
168,168,100649,1,1,"<em>(Podoben: &ldquo;When the stone had been sealed...&rdquo;)</em><br>
O citizen of the desert and angel in the body,| you were shown to be a wonderworker, O God-bearing Gerasimos, our Father. |You received heavenly gifts through fasting, vigil, and prayer, |healing the sick, and the souls of those who run to you with faith.| Glory to Him Who strengthened you. |Glory to Him Who crowned you. |Glory to Him Who, through you, works healing for all.",0
169,169,102354,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
170,170,102663,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
171,171,101609,1,1,"You proclaimed the great mystery of the Trinity, O good shepherd,|and manifested Christ&rsquo;s dispensation to all,|dispersing the spiritual wolves who menaced your rational flock,|saving the lambs of Christ who cry:|Glory to him who has strengthened you!|Glory to him who has exalted you!|Glory to him who through you has fortified the Orthodox Faith!",0
173,173,102652,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
179,179,100569,1,1,"You were shown forth as a resplendent priest,|a teacher of godliness and a wonderworker, blessed hierarch Leo;|by the light of heavenly virtue you were enriched with the power of the Spirit,|and heal the souls and bodies of those who hasten to you.|Glory to Christ who has glorified you!|Glory to Him who has crowned you!|Glory to Him who through you works healing for all!",0
180,180,102682,1,1,"O Lord, save Your people,|and bless Your inheritance.|Grant victories to the Orthodox Christians|over their adversaries.|And by virtue of Your Cross,|preserve Your habitation.",0
184,184,102339,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
186,186,102885,1,2,"You were a disciple of Christ,|and a member of the divine college of Apostles.|Having been weak in faith you doubted the Resurrection of Christ,|but by feeling the wounds you believed in His all-pure Passion:|pray now to Him, O all-praised Thomas, to grant us peace and great mercy.",0
187,187,86,1,2,"<p>O Joseph, proclaim the wonders to David, the ancestor of God: | you have seen a Virgin great with child; you gave glory with the shepherds; | you worshipped with the Magi; | you received an answer from the Angel.<sup>1</sup> | Beseech Christ God to save our souls.</p><hr>
<sup>1</sup> Matthew 1: 20-21.",0
4849,961,101060,1,8,"O Victorious Leader, who has chosen the mountain of Pochaev as your habitation,  |we, your servants, sing our grateful thanks and praise to you, O Theotokos;  |for you have glorified this godly place from of old by the appearance of the healing power of your footprint and your wonderworking image.  |As you once preserved your habitation from the invasion of infidels,  |set us free from every calamity and invasion,  |so that always preserved through your help, we may sing from the depths of our souls:  |&ldquo;Rejoice, O Praise of Pochaev, our hope and consolation.&rdquo;",0
190,190,102349,1,2,"You were given to a barren womb as a most precious gift, |and were sacrificed to your Lord as a whole burnt offering. |You served Him with holiness and righteousness; |therefore O Samuel, God's Prophet, we honor you as an intercessor for our souls.",0
