mnId,mnMonth,mnDay,mnSid,mnName,mnAlpha,mnFname,mnGender,mnDate,mnLoc,mnDisp,mnFlevel,mnFast,mnCollect,mnIndiv,mnIcon,mnFlag,mnSermonURL,mnSort
97,1,4,100095,"Ven. Onuphrius of Chilandari (Mt. Athos), Martyr",ONUPHRIUS,Venerable New Martyr Onuphrius of Hilandar (Mount Athos),m,1818,"Mt. Athos, Hilandar","",0,-1,1,1,"",0,,1000
98,1,4,103806,Holy Fathers of the Shio-Mgvime Monastery,FATHERS,Holy Fathers of the Shio-Mgvime Monastery,"","","Georgia, Mgvime","",0,-1,0,1,january/0104martyrs-shio-mgvime-monastery.jpg,0,,1000
101,1,5,100096,Eve of Theophany,THEOPHANY,Eve of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",2,1,1,1,greatfeasts/0106theophany04.jpg,0,,1000
102,1,5,100097,"Hieromartyr Theopemptus, Bishop of Nicomedia, and Martyr Theonas",THEOPEMPTUS,"Hieromartyr Theopemptus, Bishop of Nicomedia, and Martyr Theonas","",303,Nicomedia,"",0,1,1,1,january/0105theopemptus.jpg,0,,1000
104,1,5,100099,Venerable Synkletika of Alexandria,SYNCLETICA,Venerable Synkletika of Alexandria,,ca. 350,"Alexandria, Egypt",,0,1,1,1,january/0105syncletika.jpg,0,,1000
105,1,5,100100,Prophet Micah,MICAH,Prophet Micah,"",9th century BC,Samaria,"",0,1,1,1,august/0814micah.jpg,0,,1000
106,1,5,100101,Saint Apollinaria of Egypt,APOLLINARIUS,Saint Apollinaria of Egypt,f,ca. 470,Egypt,"",0,1,1,1,january/0105apollinaris.jpg,0,,1000
107,1,5,100102,Ven. Phosterius the Hermit,PHOSTERIUS,Venerable Phosterius the Hermit,m,9th century,"","",0,1,1,1,"",0,,1000
108,1,5,100103,Ven. Menas of Sinai,MENAS,Venerable Menas of Sinai,m,6th century,"","",0,1,1,1,"",0,,1000
109,1,5,100104,Ven. Gregory of Crete,GREGORY,Venerable Gregory of Crete,m,ca. 820,Crete,"",0,1,1,1,"",0,,1000
110,1,5,100105,"Ven. Romanos, Martyr",ROMANUS,Venerable Romanus the Martyr,m,1694,Karpenisi,"",0,1,1,1,"",0,,1000
111,1,6,100106,THE HOLY THEOPHANY OF OUR LORD AND SAVIOR JESUS CHRIST,THEOPHANY,Feast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",3,-1,1,1,greatfeasts/0106theophany0001.jpg,0,/fs/sermons/discourse-on-the-day-of-the-baptism-of-christ,1000
112,1,6,100107,Ven. Macarius of Mt. Athos,MACARIUS,Venerable Macarius of Mount Athos,m,1431,Mt. Athos,"",0,-1,1,1,"",0,,1000
113,1,7,100108,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",2,0,1,1,greatfeasts/0106theophany26.jpg,0,,1000
114,1,7,100109,"Synaxis of the Holy Glorious Prophet, Forerunner and Baptist John",JOHN,"Synaxis of the Holy Glorious Prophet, Forerunner and Baptist John","","","","",1,0,1,1,january/0107johnbaptist11.jpg,0,,1000
115,1,7,100110,St Pakhomios of Keno Lake,PACHOMIUS,Saint Pakhomios of Keno Lake,,1515,"Keno Lake, Russia",,0,0,0,1,,0,,1000
116,1,7,103705,St Brannock,BRANNOCK,Saint Brannock of Braunton,"",6th century,"Braunton, Britian","",0,0,0,1,january/0107brannockbraunton.jpg,0,,1000
117,1,7,108296,St Cedd,CEDD,Saint Cedd of Lastingham,"",664,"Lastingham, England","",0,0,0,1,january/0107ceddlastingham.jpg,0,,1000
118,1,8,100111,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany29.jpg,0,,1000
119,1,8,100112,"Ven. George the Chozebite, Abbot",GEORGE,"Venerable George the Chozebite, Abbot",m,6th century,"","",0,0,1,1,january/0108domnika-george-elladios.jpg,0,,1000
120,1,8,100113,Ven. Domnica of Constantinople,DOMNICA,Venerable Domnica of Constantinople,f,474,Constantinople,"",0,0,1,1,january/0108domnika-george-elladios.jpg,0,,1000
121,1,8,100114,"St. Emilian the Confessor, Bishop of Cyzicus",EMILIAN,"Saint Emilian the Confessor, Bishop of Cyzicus",m,820,Cyzicus,9th c.,0,0,1,1,august/0808.emilian.jpg,0,,1000
122,1,8,100115,"Ven. Gregory, Wonderworker of the Kiev Caves",GREGORY,"Venerable Gregory, Wonderworker of the Kiev Near Caves",m,1093,"Kiev Caves, Far Caves","Near Caves&mdash;1093",0,0,1,1,january/0108gregorykievcaves.jpg,0,,1000
123,1,8,100116,"Ven. Gregory the Recluse, of the Kiev Caves",GREGORY,"Venerable Gregory the Recluse, of the Kiev Caves",m,13th-14th century,"Kiev Caves, Far Caves","Far Caves&mdash;13th-14th c.",0,0,1,1,"",0,,1000
124,1,8,100117,Hieromartyr Isidore and 72 others at Yuriev,ISIDORE,"Hieromartyr Isidore and 72 others at Yuriev, Estonia","",1472,"Estonia, Yuriev","Estonia&mdash;1472",0,0,1,1,january/0108isidore-yurievsk-72martyrs.jpg,0,,1000
126,1,8,100119,St. Paisius of Uglich,PAISIUS,Saint Paisius of Uglich,"",1504,Uglich,"",0,0,1,1,january/0108paisiusofouglich.jpg,0,,1000
127,1,8,100120,"Hieromartyr Carterius of C&aelig;sarea in Cappadocia",CARTERIUS,Saint Carterius of Caesarea in Cappadocia,"",304,"Caesarea, Cappadocia","",0,0,1,1,"",0,,1000
128,1,8,100121,"Martyrs Theophilus the Deacon, and Helladius, in Libya",THEOPHILUS,"Martyrs Theophilus the Deacon, and Helladius, in Libya","",4th century,Libya,"",0,0,1,1,"",0,,1000
130,1,8,100123,"Martyrs Julian and his wife, Basilissa, and with them Marcionilla, her son Celsus, Anthony, Anastasius, 7 children and 20 soldiers, at Antino&euml; in Egypt",JULIAN,"Martyrs Julian and his wife, Basilissa, and those with them in Egypt","",313,"Egypt, Antinoe","",0,0,1,1,"",0,,1000
138,1,8,100131,"Ven. Elias the Hermit, of Egypt",ELIAS,"Venerable Elias the Hermit, of Egypt",m,4th century,Egypt,"",0,0,1,1,"",0,,1000
139,1,8,100132,"Martyr Abo the Perfumer, of Tiflis",ABO,"Martyr Abo the Perfumer, of Tbilisi, Georgia",m,786,"Georgia, Tbilisi","Georgia&mdash;790",0,0,1,1,january/0108abo-tbilisi002.jpg,0,,1000
141,1,8,108033,Venerable Gregory,GREGORY,Venerable Gregory of Ochrid,m,1012,Serbia,"",0,0,0,1,"",0,,1000
142,1,9,100133,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany21.jpg,0,,1000
143,1,9,100134,Martyr Polyeuktos of Melitene in Armenia,POLYEUCTUS,Martyr Polyeuktos of Melitene in Armenia,,259,"Armenia, Melitene",,0,0,1,1,january/0109polyeuctus.jpg,0,,1000
144,1,9,100135,"Hieromartyr Philip, Metropolitan of Moscow and All Russia",PHILIP,"Hieromartyr Philip, Metropolitan of Moscow and All Russia","",1570,"Moscow, Russia","",0,0,1,1,january/0109philip-moscow05.jpg,0,,1000
145,1,9,100136,Prophet Shemaiah,SHEMAIAH,Prophet Shemaiah (Samaia or Semeias),"",10th century BC,"","Samaia, Semeias&mdash;3[4] Kings 12:22&mdash;10th c. B.C.",0,0,1,1,"",0,,1000
146,1,9,100137,"St. Peter, Bishop of Sebaste in Armenia",PETER,"Saint Peter, Bishop of Sebaste, in Armenia","",4th century,"Armenia, Sebaste","",0,0,1,1,"",0,,1000
147,1,9,100138,St. Eustratius the Wonderworker,EUSTRATIUS,Saint Eustratius the Wonderworker,m,9th century,Asia Minor,"",0,0,1,1,"",0,,1000
148,1,10,100139,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany26.jpg,0,,1000
149,1,10,100140,"St. Gregory, Bishop of Nyssa",GREGORY,"Saint Gregory, Bishop of Nyssa",m,ca. 395,Nyssa,4th c.,0,0,1,1,january/0110gregoryofnyssa.jpg,0,,1000
150,1,10,100141,"St. Dometian, Bishop of Melitene",DOMETIAN,"Saint Dometian, Bishop of Melitene",m,601,"Melitene, Armenia","",0,0,1,1,january/0110dometian.jpg,0,,1000
151,1,10,100142,"St. Marcian, Presbyter, of Constantinople",MARCIAN,Saint Marcian the Presbyter in Constantinople,"",5th century,Constantinople,"",0,0,1,1,"",0,,1000
152,1,10,100143,"Ven. Paul, Abbot of Obnora",PAUL,"Venerable Paul, Abbot of Obnora, Vologda",m,1429,"Vologda, Obnora","Vologd&aacute;&mdash;1429",0,0,1,1,january/0110paulkomel.jpg,0,,1000
153,1,10,100144,"Ven. Macarius, Abbot, of Pisma",MACARIUS,Venerable Makarios of Pisma and Kostroma,m,14th century,Pisma,,0,0,1,1,,0,,1000
154,1,10,100145,"Bl. Theosebia the Deaconess, sister of Ss. Basil the Great and Gregory of Nyssa",THEOSEBIA,"Blessed Theosebia the Deaconess, sister of Saints Basil the Great and Gregory of Nyssa",f,385,"Caesarea, Cappadocia, Nyssa","",0,0,1,1,"",0,,1000
155,1,10,100146,Ven. Antipas the Athonite,ANTIPAS,Venerable Antipas of Valaam Monastery,m,1882,"Romania, Valaam Monastery","",0,0,1,1,january/0110antipas-valaam0020.jpg,0,,1000
156,1,10,100147,"St. Theophan the Recluse, Bishop of Tambov",THEOPHAN,"Saint Theophan the Recluse, Bishop of Tambov",m,1894,Tambov,"",0,0,1,1,january/01.10_theophanerecluse.jpg,0,,1000
157,1,11,100148,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany.jpg,0,,1000
158,1,11,100149,"Ven. Theodosius the Great, the Cenobiarch",THEODOSIUS,"Venerable Theodosius the Great, the Cenobiarch",m,529,"","",1,0,1,1,january/0111theodosius.jpg,0,,1000
159,1,11,100150,"Ven. Michael of Klops Monastery, Fool-for-Christ",MICHAEL,"Venerable Michael the Fool-for-Christ of the Klops Monastery, Novgorod",m,ca. 1453-56,"Novgorod, Klops Monastery","Novgorod&mdash;ca. 1453-56",0,0,1,1,january/0111michaelklopsk.jpg,0,,1000
160,1,11,100151,St. Theodosius of Antioch,THEODOSIUS,Saint Theodosius of Antioch,m,ca. 412,Antioch,ca. 412,0,0,1,1,"",0,,1000
161,1,11,100152,"Ven. Theodosius, Metropolitan of Trebizond",THEODOSIUS,"Venerable Theodosius, Metropolitan of Trebizond",m,1392,Trebizond,"",0,0,1,1,"",0,,1000
162,1,11,100153,"The &ldquo;ELETSKAIA&rdquo; Icon of the Mother of God",ICON,Yelets Icon of the Mother of God,"",1060,"Elets, Orlov","",0,0,1,1,january/0111yeletschernigovicon.jpg,0,,1000
163,1,12,100154,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany15.jpg,0,,1000
164,1,12,100155,Martyr Tatiana of Rome and those who suffered with her,TATIANA,"Martyr Tatiana of Rome, and those who suffered with her","",226-235,Rome,"",0,0,1,1,january/0112tatiana03.jpg,0,,1000
165,1,14,100156,"St. Savva I, first Archbishop of Serbia",SAVVA,"Saint Savva I, first Archbishop of Serbia","",1237,Serbia,"",0,0,1,1,january/0112sava-serbia05.jpg,0,,1001
166,1,12,100157,"Ven. Martinian, Abbot of Belozersk",MARTINIAN,"Venerable Martinian, Abbot of Belozersk",m,1483,Belozersk (White Lake),"",0,0,1,1,january/0112martinian.jpg,0,,1000
167,1,12,100158,Martyr Mertius of Mauretania,MERTIUS,Martyr Mertius of Mauretania,"",284-305,Mauretania,"",0,0,1,1,"",0,,1000
168,1,12,100159,Martyr Peter Apselamus of Palestine,PETER,Martyr Peter Apselamus of Palestine,"",309-310,Palestine,"",0,0,1,1,"",0,,1000
169,1,12,100160,"Ven. Eupraxia of Tabenna, in Egypt",EUPRAXIA,"Venerable Eupraxia of Tabenna, in Egypt",f,393,"Egypt, Tabenna","",0,0,1,1,january/0112eupraxisthemartyr.jpg,0,,1000
170,1,12,100161,"The &ldquo;AKATHIST&rdquo; and &ldquo;THE MILKGIVER&rdquo; Icons of the Mother of God",ICON,"Icon of the Mother of God of &ldquo;the Akathist&rdquo;","","","Hilandar, Mt. Athos","",0,0,1,1,january/0112hilander-akathist-theotokos.jpg,0,,1000
171,1,12,100162,"Icon of the Mother of God the &ldquo;Milkgiver&rdquo;",ICON,"Icon of the Mother of God the &ldquo;Milkgiver&rdquo;","","","Hilandar, Mt. Athos","",0,0,0,1,january/0112nourisheroflife.jpg,0,,1000
172,1,12,109024,"Icon of the Mother of God, the &ldquo;Priestly&rdquo;",ICON,"Icon of the Mother of God, the &ldquo;Priestly&rdquo;","","","Hilandar Monastery, Mt. Athos","",0,0,1,1,"",0,,1000
173,1,13,100163,Afterfeast of the Theophany,THEOPHANY,Afterfeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany.jpg,0,,1000
174,1,13,100164,Martyrs Hermylus and Stratonicus of Belgrade,HERMYLUS,Martyrs Hermylus and Stratonicus of Belgrade,"",ca. 315,"Serbia, Belgrade","",0,0,1,1,january/0113ermelaus-maximus-stratonikos.jpg,0,,1000
176,1,13,100166,"Ven. Irenarchus, Recluse, of Rostov",IRENARCHUS,Venerable Irenarchus the Recluse of Rostov,m,1616,Rostov,"",0,0,1,1,"",0,,1000
177,1,13,100167,Ven. Eleazar of Anzersk Island,ELEAZAR,"Venerable Eleazar of Anzersk Island, Solovki",m,1656,Solovki,"Solov&eacute;tsky Monastery&mdash;1656",0,0,1,1,january/0113eliazaranzersk.jpg,0,,1000
178,1,13,100168,"Martyr Peter of Anium, at Hieropolis",PETER,"Martyr Peter of Anium, at Hieropolis","",309-320,"Hieropolis, Anium",ca. 309-320,0,0,1,1,"",0,,1000
179,1,13,100169,"St. James (Jacob), Bishop of Nisibis",JAMES,"Saint James, Bishop of Nisibis","",350,Nisibis,"",0,0,1,1,january/0113jamesnisibis.jpg,0,,1000
180,1,13,100170,"St. Hilary, Bishop of Poitiers",HILARY,"Saint Hilary, Bishop of Poitiers",m,4th century,Poitiers,"",0,0,1,1,"",0,,1000
181,1,13,100171,Ven. Maximus Kavsokalyvites,MAXIMUS,Venerable Maximus Kavsokalyvites of Mount Athos,m,1320,Mt. Athos,"Mt. Athos&mdash;1320",0,0,1,1,january/0113ermelaus-maximus-stratonikos.jpg,0,,1000
182,1,13,108891,St Elian,ELIAN,"Saint Elian, Missionary to Cornwall, England",m,5th century,"England, Cornwall","",0,0,0,1,january/0113elian-england.jpg,0,,1000
183,1,14,100172,Leavetaking of the Theophany,THEOPHANY,Leavetaking of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,0,1,1,greatfeasts/0106theophany10.jpg,0,,1002
184,1,14,100173,"The Holy Fathers slain at Sinai and Raithu: Isaiah, Savva, Moses and his disciple Moses, Jeremiah, Paul, Adam, Sergius, Domnus, Proclus, Hypatius, Isaac, Macarius, Mark, Benjamin, Eusebius, Elias, and others",FATHERS,Holy Monastic Fathers slain at Sinai and Raithu,m,4th-5th century,"Sinai, Egypt, Raithu","",0,0,1,1,january/0114fatherssinai.jpg,0,,1000
202,1,14,100191,"St. Nina (Nino), Equal-to-the-Apostles, Enlightener of the Georgians",NINO,"Saint Nino (Nina), Equal of the Apostles, Enlightener of Georgia","",355,Georgia,"",0,0,1,1,january/0114nino-georgia.jpg,0,,1000
203,1,14,100192,St. Joseph Analytinus of Raithu,JOSEPH,Saint Joseph Analytinus of Raithu,"",4th century,"Sinai, Raithu, Egypt","",0,0,1,1,"",0,,1000
204,1,14,100193,"Ven. Theodulus, son of Ven. Nilus of Sinai",THEODULUS,"Venerable Theodulus, son of Venerable Nilus of Sinai",m,5th century,"Sinai, Egypt","",0,0,1,1,"",0,,1000
205,1,14,100194,"Ven. Stephen, Abbot of Khenolakkos Monastery near Chalcedon",STEPHEN,"Venerable Stephen, Abbot of Khenolakkos Monastery, near Chalcedon",m,8th century,"Chalcedon, Khenolakkos Monastery","",0,0,1,1,/january/0114stephenkhenolakkosmonastery.jpg,0,,1000
206,1,14,100195,St Kentigern,KENTIGERN,"Saint Kentigern, first Bishop of Glasgow, Scotland","",612,"Glasgow, Scotland","",0,0,0,1,january/0114kentigern.jpg,0,,1000
207,1,15,100196,"Ven. Paul of Thebes (341) and John Calabytes (&ldquo;the Hut-dweller&rdquo;&mdash;5th c.)",PAUL,Venerable Paul of Thebes,m,"","","",0,0,1,1,january/0115paulofthebes.jpg,0,,1000
208,1,15,100197,Venerable John,JOHN,"Venerable John Calabytes &ldquo;the Hut-Dweller&rdquo;",m,5th century,"","",0,0,0,1,january/0115johnthekalevite.jpg,0,,1000
209,1,15,100198,"Ven. Pansophius of Alexandria, Martyr",PANSOPHIUS,"Venerable Pansophius of Alexandria, the Martyr",m,249-251,"Alexandria, Egypt",ca. 249-251,0,0,1,1,"",0,,1000
210,1,15,100199,"Ven. Prochorus, Abbot, in the Vranski desert on the River Pshina in Bulgaria",PROCHORUS,"Saint Prochorus, Abbot in the Vranski Desert on the River Pshina in Bulgaria","",11th century,"Bulgaria, Vranski",10th c.,0,0,1,1,"",0,,1000
211,1,15,100200,"Ven. Gabriel, founder of Lesnovo Monastery in Bulgaria",GABRIEL,"Venerable Gabriel, Founder of Lesnov Monastery in Bulgaria",m,11th century,"Bulgaria, Lesnova","",0,0,1,1,january/0115gabriel-lesnovo.jpg,0,,1000
212,1,15,100201,"St. Ita, Hermitess of Killeedy ",ITA,"Saint Ita, Hermitess of Killeedy",f,570,"Killeedy, Ireland","",0,0,0,1,january/0115ita.jpg,0,,1000
213,1,15,103809,Ss. Salome of Ujarma and Perozhavra of Sivnia,SALOME,Saints Salome of Ujarma and Perozhavra of Sivnia,f,6th century,"Georgia, Ujarma","",0,0,0,1,january/0115salome ujarmeli.jpg,0,,1000
214,1,15,109025,St. Barlaam of Keretsk,BARLAAM,Saint Barlaam of Keretsk,"",16th century,"Keretsk, Kolsk","",0,0,0,1,"",0,,1000
216,1,16,100202,Veneration of the Precious Chains of the Holy and All-glorious Apostle Peter,PRECIOUS CHAINS,Veneration of the Precious Chains of the Holy and All-Glorious Apostle Peter,"","","","",0,0,1,1,january/0116peterschains.jpg,0,,1000
217,1,16,100203,"Bl. Maxim of Tot'ma, Fool-for-Christ",MAXIMUS,Blessed Maximus the Fool for Christ of Tot'ma,m,1650,"Vologda, Totma","Vologd&aacute;&mdash;1650",0,0,1,1,,0,,1000
4344,1,19,100204,Commemoration of the miracle of St. Basil the Great at Nicaea,BASIL,Commemoration of the miracle of Saint Basil the Great at Nicaea,"",372,Nicea,"",0,0,0,1,"",0,,999
4345,1,19,100215,The transfer of the relics of St. Gregory the Theologian,GREGORY,The transfer of the relics of Saint Gregory the Theologian,"",408,Constantinople,"",0,0,0,1,"",0,,999
221,1,16,100207,"Martyred brothers Speusippus, Eleusippus, Meleusippus, and those with them, in Gaul",MARTYRED BROTHERS,"Martyred brothers Speusippus, Eleusippus, Meleusippus, and those with them, in Gaul","",161-180,Cappadocia,"",0,0,1,1,"",0,,1000
226,1,16,100212,"Martyr Danax the Reader, in Macedonia",DANAX,"Martyr Danax the Reader, in Macedonia","",2nd century,Macedonia,"",0,0,1,1,"",0,,1000
227,1,16,100213,"St. Honoratus, Archbishop of Arles and founder of the Abbey of L&eacute;rins",HONORATUS,"Saint Honoratus, Archbishop of Arles, founder of Lerins Monastery",m,429,"Arles, Lerins Monastery","",0,0,1,1,"",0,,1000
228,1,16,100214,Hieromartyr Damascene the New,DAMASCENE,Hieromartyr Damascene the New,m,1771,"Mt. Athos, Hilandar","Mt. Athos&mdash;1771",0,0,1,1,"",0,,1000
230,1,16,108034,Venerable Romilus,ROMILUS,Venerable Romilus of Ravenica,m,1375,Serbia,"",0,0,0,1,"",0,,1000
231,1,17,100216,Venerable and Godbearing Father Anthony the Great,ANTHONY,Venerable and God-bearing Father Anthony the Great,m,356,Egypt,"",1,0,1,1,january/0117anthony.jpg,0,,1000
232,1,17,100217,Ven. Anthony of Dymsk,ANTHONY,"Venerable Anthony of Dymsk, Novgorod",m,ca. 1224,"Dymsk, Novgorod","Novgorod&mdash;ca. 1224",0,0,1,1,january/0117anthony-dimsk0020.jpg,0,,1000
233,1,17,100218,"Ven. Anthony of Chernoez&eacute;rsk",ANTHONY,Venerable Anthony of Chernoezero,m,16th century,Chernoezero,"",0,0,1,1,"",0,,1000
234,1,17,109026,St. Anthony of Krasny Kholm,ANTHONY,Saint Anthony of Krasny Kholm,"",1481,"White Lake, Krasny Kholm","",0,0,0,1,"",0,,1000
235,1,17,109027,Emperor Theodosius,THEODOSIUS,Emperor Theodosius the Great,m,395,Constantinople,"",0,0,0,1,"",0,,1000
236,1,17,109028,Venerable Achilles,ACHILLES,Venerable Achilles,,5th century,Egypt,,0,0,0,1,,0,,1000
237,1,18,100219,"Ss. Athanasius the Great (373) and Cyril (444), Archbishops of Alexandria",ATHANASIUS,"Saint Athanasius the Great, Archbishop of Alexandria","","","Alexandria, Egypt","",0,0,1,1,january/0118athanasius-alexandria.jpg,0,,1000
